model,group,scheme,benchmark,acc_before,acc_after,delta,pred,lo,hi,inside_90
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,winogrande,68.51,67.4,-1.11,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval_plus,33.0,31.9,-1.1,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,hellaswag,81.51,80.42,-1.09,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-4b-it-quantized.w4a16,gemma-3,w4a16,truthfulqa,51.87,50.81,-1.06,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,arc_challenge,69.37,68.34,-1.03,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8,deepseek-r1-distill,w8a8_int,winogrande,61.56,60.54,-1.02,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,deepseek-r1-distill,w4a16,musr,45.14,44.2,-0.94,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16,deepseek-r1-distill,w4a16,arc_challenge,64.59,63.65,-0.94,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,humaneval,81.1,80.2,-0.9,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,deepseek-r1-distill,w4a16,mmlu,78.04,77.15,-0.89,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,winogrande,77.9,77.03,-0.87,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,truthfulqa,64.85,64.01,-0.84,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3,w4a16,mmlu,72.15,71.31,-0.84,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3,w4a16,hellaswag,85.78,84.97,-0.81,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,winogrande,77.9,77.11,-0.79,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-12b-it-quantized.w4a16,gemma-3,w4a16,winogrande,79.4,78.61,-0.79,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-27b-it-quantized.w4a16,gemma-3,w4a16,mmlu,77.53,76.77,-0.76,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,llama-4,w4a16,mmlu_pro,55.7,54.96,-0.74,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/gemma-3-27b-it-quantized.w8a8,gemma-3,w8a8_int,hellaswag,85.78,85.05,-0.73,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a8,smollm,w8a8_int,hellaswag,66.96,66.25,-0.71,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,gsm8k,90.45,89.76,-0.69,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,gsm8k,62.77,62.09,-0.68,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Llama-4-Scout-17B-16E-Instruct-FP8-dynamic,llama-4,fp8_dynamic,math_lvl5,57.78,57.1,-0.68,-0.047700000000000006,-1.44,1.3445999999999998,True
