model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,truthfulqa,43.52,43.08,-0.44,-0.37203703703703705,-1.9527808386899297,1.2087067646158554,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu,47.66,47.95,0.29,-0.2966153846153846,-1.877359186268277,1.284128417037508,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu_cot,47.1,44.63,-2.47,-0.2966153846153846,-1.877359186268277,1.284128417037508,False,False,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,arc_challenge,58.36,56.14,-2.22,-0.2966153846153846,-1.877359186268277,1.284128417037508,False,False,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,gsm8k,45.72,46.7,0.98,-0.2966153846153846,-1.877359186268277,1.284128417037508,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,hellaswag,61.01,60.95,-0.06,-0.2966153846153846,-1.877359186268277,1.284128417037508,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,winogrande,62.27,61.33,-0.94,-0.2966153846153846,-1.877359186268277,1.284128417037508,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,truthfulqa,43.52,42.84,-0.68,-0.2966153846153846,-1.877359186268277,1.284128417037508,False,True,Llama-3.2-1B-Instruct|s2
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu,47.66,47.55,-0.11,-0.04190476190476191,-2.2095363408521305,2.1257268170426062,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu_cot,47.1,46.79,-0.31,-0.04190476190476191,-2.2095363408521305,2.1257268170426062,False,True,Llama-3.2-1B-Instruct|s3
