model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,hellaswag,75.21,73.36,-1.85,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,mmlu,54.38,52.17,-2.21,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,False,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,truthfulqa,55.93,56.83,0.9,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,False,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,winogrande,69.67,69.85,0.18,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,ifeval,67.99,67.63,-0.36,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,bbh,44.11,43.22,-0.89,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,gpqa,28.3,28.56,0.26,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,musr,35.12,35.26,0.14,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,mmlu_pro,26.87,27.27,0.4,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,granite,granite-3.1-2b-instruct,w4a16,humaneval,53.4,52.3,-1.1,-0.7635443037974684,-2.183740382228841,0.6566517746339041,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,arc_challenge,55.63,55.12,-0.51,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,gsm8k,60.96,60.58,-0.38,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,hellaswag,75.21,74.6,-0.61,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,mmlu,54.38,54.12,-0.26,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,truthfulqa,55.93,54.87,-1.06,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,winogrande,69.67,70.8,1.13,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,ifeval,67.99,67.03,-0.96,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,bbh,44.11,43.53,-0.58,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,gpqa,28.3,27.6,-0.7,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,musr,35.12,34.58,-0.54,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,granite,granite-3.1-2b-instruct,w8a8_int,mmlu_pro,26.87,26.89,0.02,-0.254,-1.6741960784313725,1.1661960784313725,False,True,test=granite|cal=llama-3.1+mistral
