model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified,family_raw,group,pred,lo,hi,inside_90,ae,ae_baseline
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,arc_challenge,1172,45.05,42.92,-2.13,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.3950777202072537,1.7414810281517745
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,gsm8k,1319,62.77,63.08,0.31,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.0449222797927462,0.6985189718482252
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,hellaswag,10042,76.78,74.62,-2.16,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.425077720207254,1.7714810281517748
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,mmlu,14042,55.65,52.11,-3.54,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False,2.8050777202072537,3.1514810281517747
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,truthfulqa,817,50.55,48.57,-1.98,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.2450777202072538,1.5914810281517746
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,winogrande,1267,68.51,68.43,-0.08,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.6549222797927462,0.30851897184822524
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,ifeval,541,38.37,37.85,-0.52,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.21492227979274614,0.13148102815177476
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,humaneval,164,49.9,49.4,-0.5,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.23492227979274616,0.11148102815177474
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w4a16,4,16,int,smoothquant+gptq,humaneval_plus,164,44.1,45.0,0.9,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.6349222797927463,1.2885189718482253
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,arc_challenge,1172,45.05,45.22,0.17,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,True,0.4902577319587629,0.5585189718482253
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,gsm8k,1319,62.77,62.09,-0.68,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,True,0.35974226804123716,0.2914810281517748
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,hellaswag,10042,76.78,76.8,0.02,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,True,0.3402577319587629,0.4085189718482253
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,mmlu,14042,55.65,55.53,-0.12,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,True,0.2002577319587629,0.26851897184822526
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,truthfulqa,817,50.55,49.89,-0.66,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,True,0.33974226804123714,0.2714810281517748
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,winogrande,1267,68.51,67.4,-1.11,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,True,0.7897422680412371,0.7214810281517748
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,ifeval,541,38.37,38.4,0.03,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,True,0.35025773195876286,0.4185189718482253
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,humaneval,164,49.9,50.9,1.0,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,True,1.320257731958763,1.3885189718482254
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,DeepSeek-R1-Distill-Llama-8B,other,8.0,0,w8a8_int,8,8,int,smoothquant+gptq,humaneval_plus,164,44.1,46.7,2.6,arith,1,other,deepseek-r1-distill,-0.3202577319587629,-1.71,1.069484536082474,False,2.920257731958763,2.9885189718482255
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,gpqa,448,65.57,64.04,-1.53,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.7950777202072539,1.1414810281517749
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,arc_challenge,1172,63.65,63.31,-0.34,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.39492227979274613,0.048518971848225234
