model,base_model,scheme,recipe,params_b,benchmark,acc_before,acc_after,n_items,flip_rate,is_control,method,weight_bits,act_bits,num_type,is_instruct,family,notes,delta,ctrl_delta,excess
local/Qwen2.5-1.5B-Instruct-w4a16_randcalib,Qwen2.5-1.5B-Instruct,w4a16,w4a16_randcalib,1.5,mmlu,36.2333,34.3667,3000,0.1127,0,gptq,4,16,int,1,adversarial,calib=random_tokens group=128 per_tensor=False,-1.8665999999999983,-1.3665999999999983,-0.5
local/Qwen2.5-1.5B-Instruct-w4a16_wrongdomain,Qwen2.5-1.5B-Instruct,w4a16,w4a16_wrongdomain,1.5,arc_challenge,39.5051,37.7133,1172,0.1442,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-1.791800000000002,-1.3652000000000015,-0.42660000000000053
local/Qwen2.5-1.5B-Instruct-w4a16_wrongdomain,Qwen2.5-1.5B-Instruct,w4a16,w4a16_wrongdomain,1.5,hellaswag,65.6,61.3667,3000,0.105,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-4.233299999999993,-3.7332999999999927,-0.5
local/Qwen2.5-1.5B-Instruct-w4a16_wrongdomain,Qwen2.5-1.5B-Instruct,w4a16,w4a16_wrongdomain,1.5,mmlu,36.2333,35.7333,3000,0.1143,0,gptq,4,16,int,1,adversarial,calib=wrong_domain group=128 per_tensor=False,-0.5,-1.3665999999999983,0.8665999999999983
local/Qwen2.5-1.5B-Instruct-w4a16_pertensor,Qwen2.5-1.5B-Instruct,w4a16,w4a16_pertensor,1.5,arc_challenge,39.5051,25.8532,1172,0.4437,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-13.651899999999998,-1.3652000000000015,-12.286699999999996
local/Qwen2.5-1.5B-Instruct-w4a16_pertensor,Qwen2.5-1.5B-Instruct,w4a16,w4a16_pertensor,1.5,hellaswag,65.6,26.1,3000,0.5663,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-39.49999999999999,-3.7332999999999927,-35.7667
local/Qwen2.5-1.5B-Instruct-w4a16_pertensor,Qwen2.5-1.5B-Instruct,w4a16,w4a16_pertensor,1.5,mmlu,36.2333,26.4667,3000,0.4423,0,rtn,4,16,int,1,adversarial,calib=good group=0 per_tensor=True,-9.7666,-1.3665999999999983,-8.400000000000002
local/Qwen2.5-1.5B-Instruct-w8a8_nosmooth,Qwen2.5-1.5B-Instruct,w8a8_int,w8a8_nosmooth,1.5,arc_challenge,39.5051,39.1638,1172,0.058,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.34129999999999683,-1.3652000000000015,1.0239000000000047
local/Qwen2.5-1.5B-Instruct-w8a8_nosmooth,Qwen2.5-1.5B-Instruct,w8a8_int,w8a8_nosmooth,1.5,hellaswag,65.6,65.2667,3000,0.036,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.33329999999999416,-3.7332999999999927,3.3999999999999986
local/Qwen2.5-1.5B-Instruct-w8a8_nosmooth,Qwen2.5-1.5B-Instruct,w8a8_int,w8a8_nosmooth,1.5,mmlu,36.2333,36.0667,3000,0.0483,0,rtn,8,8,int,1,adversarial,calib=good group=0 per_tensor=True,-0.16660000000000252,-1.3665999999999983,1.1999999999999957
