model,benchmark,reason
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,MBPP pass@1,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,MBPP+ pass@1,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-FP8-dynamic,gpqa,recovery_mismatch
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,MBPP pass@1,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,MBPP+ pass@1,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,MMMU (0-shot),benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,ChartQA (0-shot),benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w4a16,gpqa,duplicate_benchmark_discarded
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,MBPP pass@1,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,MBPP+ pass@1,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,MMMU (0-shot),benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,ChartQA (0-shot),benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,gsm8k,recovery_mismatch
RedHatAI/Mistral-Small-3.1-24B-Instruct-2503-quantized.w8a8,gpqa,duplicate_benchmark_discarded
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Small 3.1 24B Instruct,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Small 3.2 24B Instruct,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Small 3.1 24B Instruct,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Small 3.2 24B Instruct,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Small 3.1 24B Instruct,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Small 3.2 24B Instruct,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Small 3.1 24B Instruct,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Small 3.2 24B Instruct,benchmark_not_whitelisted
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-NVFP4,Average,aggregate_row_ignored
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-NVFP4,Average,aggregate_row_ignored
RedHatAI/Mixtral-8x22B-Instruct-v0.1-FP8,Average Score,aggregate_row_ignored
RedHatAI/Mixtral-8x22B-Instruct-v0.1-FP8,Recovery (%),aggregate_row_ignored
RedHatAI/Mixtral-8x22B-v0.1-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/Mixtral-8x22B-v0.1-quantized.w4a16,Recovery,aggregate_row_ignored
RedHatAI/Mixtral-8x7B-Instruct-v0.1-FP8,Average Score,aggregate_row_ignored
RedHatAI/Mixtral-8x7B-Instruct-v0.1-FP8,Recovery (%),aggregate_row_ignored
RedHatAI/Mixtral-8x7B-v0.1-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/Mixtral-8x7B-v0.1-quantized.w4a16,Recovery,aggregate_row_ignored
RedHatAI/Qwen2.5-0.5B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-0.5B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-0.5B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-0.5B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-0.5B-quantized.w4a16,arc_challenge,recovery_mismatch
RedHatAI/Qwen2.5-0.5B-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-0.5B-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-1.5B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-1.5B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-1.5B-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-1.5B-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-14B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-14B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-14B-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-32B-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-3B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-3B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-3B-quantized.w4a16,truthfulqa,recovery_mismatch
RedHatAI/Qwen2.5-3B-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-3B-quantized.w8a16,truthfulqa,recovery_mismatch
RedHatAI/Qwen2.5-3B-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-72B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-72B-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-72B-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-7B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-7B-Instruct-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-7B-Instruct-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-7B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-7B-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/Qwen2.5-7B-quantized.w8a16,arc_challenge,recovery_mismatch
RedHatAI/Qwen2.5-7B-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/Qwen3-14B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen3-14B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen3-14B-FP8-dynamic,MGSM (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-14B-FP8-dynamic,AIME 2024,benchmark_not_whitelisted
RedHatAI/Qwen3-14B-FP8-dynamic,AIME 2025,benchmark_not_whitelisted
RedHatAI/Qwen3-14B-FP8-dynamic,LiveCodeBench,benchmark_not_whitelisted
RedHatAI/Qwen3-14B-FP8-dynamic,mmlu_pro,recovery_mismatch
RedHatAI/Qwen3-14B-FP8-dynamic,math_lvl5,duplicate_benchmark_discarded
RedHatAI/Qwen3-14B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-14B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-14B-NVFP4,AIME24 (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-14B-NVFP4,AIME25 (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-14B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-14B-NVFP4,gpqa,recovery_mismatch
RedHatAI/Qwen3-14B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen3-14B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen3-14B-quantized.w4a16,MGSM (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-14B-quantized.w4a16,AIME 2024,benchmark_not_whitelisted
RedHatAI/Qwen3-14B-quantized.w4a16,AIME 2025,benchmark_not_whitelisted
RedHatAI/Qwen3-14B-quantized.w4a16,LiveCodeBench,benchmark_not_whitelisted
RedHatAI/Qwen3-14B-quantized.w4a16,winogrande,recovery_mismatch
RedHatAI/Qwen3-14B-quantized.w4a16,ifeval,recovery_mismatch
RedHatAI/Qwen3-14B-quantized.w4a16,math_lvl5,duplicate_benchmark_discarded
RedHatAI/Qwen3-32B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen3-32B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen3-32B-FP8-dynamic,AIME 2024,benchmark_not_whitelisted
RedHatAI/Qwen3-32B-FP8-dynamic,AIME 2025,benchmark_not_whitelisted
RedHatAI/Qwen3-32B-FP8-dynamic,LiveCodeBench,benchmark_not_whitelisted
RedHatAI/Qwen3-32B-FP8-dynamic,math_lvl5,duplicate_benchmark_discarded
RedHatAI/Qwen3-32B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-32B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-32B-NVFP4,AIME24 (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-32B-NVFP4,AIME25 (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-32B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-32B-NVFP4,gpqa,duplicate_benchmark_discarded
RedHatAI/Qwen3-32B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen3-32B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen3-32B-quantized.w4a16,MGSM (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-32B-quantized.w4a16,AIME 2024,benchmark_not_whitelisted
RedHatAI/Qwen3-32B-quantized.w4a16,AIME 2025,benchmark_not_whitelisted
RedHatAI/Qwen3-32B-quantized.w4a16,LiveCodeBench,benchmark_not_whitelisted
RedHatAI/Qwen3-32B-quantized.w4a16,winogrande,recovery_mismatch
RedHatAI/Qwen3-32B-quantized.w4a16,math_lvl5,duplicate_benchmark_discarded
RedHatAI/Qwen3-8B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen3-8B-FP8-dynamic,Average,aggregate_row_ignored
RedHatAI/Qwen3-8B-FP8-dynamic,MGSM (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-8B-FP8-dynamic,AIME 2024,benchmark_not_whitelisted
RedHatAI/Qwen3-8B-FP8-dynamic,AIME 2025,benchmark_not_whitelisted
RedHatAI/Qwen3-8B-FP8-dynamic,LiveCodeBench,benchmark_not_whitelisted
RedHatAI/Qwen3-8B-FP8-dynamic,math_lvl5,duplicate_benchmark_discarded
RedHatAI/Qwen3-8B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-8B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-8B-NVFP4,AIME24 (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-8B-NVFP4,AIME25 (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-8B-NVFP4,Average,aggregate_row_ignored
RedHatAI/Qwen3-8B-NVFP4,gpqa,duplicate_benchmark_discarded
RedHatAI/Qwen3-8B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen3-8B-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/Qwen3-8B-quantized.w4a16,MGSM (0-shot),benchmark_not_whitelisted
RedHatAI/Qwen3-8B-quantized.w4a16,AIME 2024,benchmark_not_whitelisted
RedHatAI/Qwen3-8B-quantized.w4a16,AIME 2025,benchmark_not_whitelisted
RedHatAI/Qwen3-8B-quantized.w4a16,LiveCodeBench,benchmark_not_whitelisted
RedHatAI/Qwen3-8B-quantized.w4a16,math_lvl5,duplicate_benchmark_discarded
RedHatAI/diffusiongemma-26B-A4B-it-FP8-dynamic,-,unrecognized_family
RedHatAI/diffusiongemma-26B-A4B-it-NVFP4,-,unrecognized_family
RedHatAI/gemma-2-27b-it-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/gemma-2-2b-it-FP8,Average,aggregate_row_ignored
RedHatAI/gemma-2-2b-it-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/gemma-2-2b-it-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/gemma-2-2b-it-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/gemma-2-2b-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/gemma-2-9b-it-FP8,Average,aggregate_row_ignored
RedHatAI/gemma-2-9b-it-FP8,gsm8k,recovery_mismatch
RedHatAI/gemma-2-9b-it-quantized.w4a16,Average,aggregate_row_ignored
RedHatAI/gemma-2-9b-it-quantized.w8a16,Average,aggregate_row_ignored
RedHatAI/gemma-2-9b-it-quantized.w8a8,Average,aggregate_row_ignored
RedHatAI/granite-3.1-2b-base-FP8-dynamic,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-2b-base-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-2b-base-quantized.w8a8,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-2b-instruct-FP8-dynamic,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-2b-instruct-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-2b-instruct-quantized.w8a8,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-base-FP8-dynamic,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-base-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-base-quantized.w8a8,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-instruct-FP8-dynamic,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-instruct-FP8-dynamic,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-instruct-quantized.w4a16,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,Average Score,aggregate_row_ignored
RedHatAI/granite-3.1-8b-instruct-quantized.w8a8,Average Score,aggregate_row_ignored
