model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified
RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,fp8_dynamic,8,8,fp,rtn,humaneval_plus,164,78.4,78.7,0.3,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,arc_challenge,1172,93.39,92.62,-0.77,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,gsm8k,1319,85.22,77.1,-8.12,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,hellaswag,10042,70.23,75.4,5.17,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,winogrande,1267,73.48,72.53,-0.95,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,truthfulqa,817,66.26,66.26,0.0,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,mmlu_pro,12032,53.48,50.26,-3.22,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,ifeval,541,92.45,91.49,-0.96,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,bbh,6511,69.05,66.31,-2.74,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,math_lvl5,1324,47.96,43.81,-4.15,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,gpqa,448,31.63,32.21,0.58,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,musr,756,44.18,44.18,0.0,arith,1
RedHatAI/Llama-3.3-70B-Instruct-NVFP4,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,nvfp4,4,4,fp,rtn,humaneval,164,88.69,84.77,-3.92,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,mmlu,14042,81.6,80.62,-0.98,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,mmlu_cot,14042,86.58,85.81,-0.77,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,arc_challenge,1172,49.23,49.49,0.26,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,gsm8k,1319,94.16,94.47,0.31,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,hellaswag,10042,86.49,85.97,-0.52,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,winogrande,1267,84.77,84.45,-0.32,arith,1
